[   6 / 132 ] flow_distance =    28.463140322671038 | volume_distance =     4.762052005670176 | sum_distance =    33.225192328341215 | exercise(cycle,model) = exerc_1 | exerc_7
[   6 / 132 ] flow_distance =    37.954233545224994 | volume_distance =     6.267135573283379 | sum_distance =    44.221369118508370 | exercise(cycle,model) = exerc_1 | exerc_2
[   6 / 132 ] flow_distance =    54.383488596431221 | volume_distance =     2.567928879673095 | sum_distance =    56.951417476104318 | exercise(cycle,model) = exerc_1 | exerc_5
[   6 / 132 ] flow_distance =    30.044931466032512 | volume_distance =     5.915384431275174 | sum_distance =    35.960315897307687 | exercise(cycle,model) = exerc_1 | exerc_1

[   7 / 132 ] flow_distance =    41.709613815093235 | volume_distance =     1.325479070620311 | sum_distance =    43.035092885713546 | exercise(cycle,model) = exerc_1 | exerc_4
[   7 / 132 ] flow_distance =    11.991659076344233 | volume_distance =     2.193683251945062 | sum_distance =    14.185342328289295 | exercise(cycle,model) = exerc_1 | exerc_6
[   7 / 132 ] flow_distance =   120.549300863264691 | volume_distance =     7.116887245137093 | sum_distance =   127.666188108401784 | exercise(cycle,model) = exerc_1 | exerc_3
[   7 / 132 ] flow_distance =    29.892978067127828 | volume_distance =     1.013112682330913 | sum_distance =    30.906090749458741 | exercise(cycle,model) = exerc_1 | exerc_7
[   7 / 132 ] flow_distance =    28.260673510933696 | volume_distance =    17.897519525799964 | sum_distance =    46.158193036733664 | exercise(cycle,model) = exerc_1 | exerc_2
[   7 / 132 ] flow_distance =    45.397995898310995 | volume_distance =     1.171228897443932 | sum_distance =    46.569224795754927 | exercise(cycle,model) = exerc_1 | exerc_5
[   7 / 132 ] flow_distance =    32.437653373107011 | volume_distance =    16.173991549951150 | sum_distance =    48.611644923058165 | exercise(cycle,model) = exerc_1 | exerc_1

[   8 / 132 ] flow_distance =    32.660926909339956 | volume_distance =     3.161218634837582 | sum_distance =    35.822145544177538 | exercise(cycle,model) = exerc_1 | exerc_4
[   8 / 132 ] flow_distance =    20.997503402760220 | volume_distance =     5.546826019338297 | sum_distance =    26.544329422098517 | exercise(cycle,model) = exerc_1 | exerc_6
[   8 / 132 ] flow_distance =   105.558290762242422 | volume_distance =     2.733244982944583 | sum_distance =   108.291535745187005 | exercise(cycle,model) = exerc_1 | exerc_3
[   8 / 132 ] flow_distance =    12.058369871702805 | volume_distance =     6.203305853771246 | sum_distance =    18.261675725474049 | exercise(cycle,model) = exerc_1 | exerc_7
[   8 / 132 ] flow_distance =    13.018541015172167 | volume_distance =     6.554705135523675 | sum_distance =    19.573246150695841 | exercise(cycle,model) = exerc_1 | exerc_2
[   8 / 132 ] flow_distance =    25.451939682474034 | volume_distance =     3.850418942573269 | sum_distance =    29.302358625047304 | exercise(cycle,model) = exerc_1 | exerc_5
[   8 / 132 ] flow_distance =    23.492969658761297 | volume_distance =     6.034462860637583 | sum_distance =    29.527432519398879 | exercise(cycle,model) = exerc_1 | exerc_1

[   9 / 132 ] flow_distance =    59.058850102392050 | volume_distance =     2.140936700310072 | sum_distance =    61.199786802702121 | exercise(cycle,model) = exerc_1 | exerc_4
[   9 / 132 ] flow_distance =    29.070415680832337 | volume_distance =     1.005513274462370 | sum_distance =    30.075928955294707 | exercise(cycle,model) = exerc_1 | exerc_6
[   9 / 132 ] flow_distance =   143.379499597328021 | volume_distance =     6.086770491162612 | sum_distance =   149.466270088490631 | exercise(cycle,model) = exerc_1 | exerc_3
[   9 / 132 ] flow_distance =    61.516397337980706 | volume_distance =     1.800900545552788 | sum_distance =    63.317297883533492 | exercise(cycle,model) = exerc_1 | exerc_7
[   9 / 132 ] flow_distance =    47.083083408944617 | volume_distance =    13.518962875374775 | sum_distance =    60.602046284319393 | exercise(cycle,model) = exerc_1 | exerc_2
[   9 / 132 ] flow_distance =    68.428880848674225 | volume_distance =     2.436455135938485 | sum_distance =    70.865335984612713 | exercise(cycle,model) = exerc_1 | exerc_5
[   9 / 132 ] flow_distance =    64.426975896208248 | volume_distance =    11.769500588891802 | sum_distance =    76.196476485100050 | exercise(cycle,model) = exerc_1 | exerc_1

[  10 / 132 ] flow_distance =    61.856839234141368 | volume_distance =     3.256052200206206 | sum_distance =    65.112891434347574 | exercise(cycle,model) = exerc_1 | exerc_4
[  10 / 132 ] flow_distance =    33.197292810327305 | volume_distance =     1.551786519292388 | sum_distance =    34.749079329619690 | exercise(cycle,model) = exerc_1 | exerc_6
[  10 / 132 ] flow_distance =    93.345151024603553 | volume_distance =     8.318826851135594 | sum_distance =   101.663977875739150 | exercise(cycle,model) = exerc_1 | exerc_3
[  10 / 132 ] flow_distance =    62.076280590961971 | volume_distance =     5.260971044740502 | sum_distance =    67.337251635702472 | exercise(cycle,model) = exerc_1 | exerc_7
[  10 / 132 ] flow_distance =    59.836665350797389 | volume_distance =    13.365055699515123 | sum_distance =    73.201721050312514 | exercise(cycle,model) = exerc_1 | exerc_2
