[   6 / 132 ] flow_distance =    14.353447451347067 | volume_distance =     4.776240770135193 | sum_distance =    19.129688221482262 | exercise(cycle,model) = exerc_1 | exerc_7
[   6 / 132 ] flow_distance =    17.861498368493770 | volume_distance =     1.028488931172609 | sum_distance =    18.889987299666380 | exercise(cycle,model) = exerc_1 | exerc_2
[   6 / 132 ] flow_distance =    36.028648419754674 | volume_distance =     2.594826185491443 | sum_distance =    38.623474605246116 | exercise(cycle,model) = exerc_1 | exerc_5
[   6 / 132 ] flow_distance =    30.738820234207559 | volume_distance =     5.942694059055888 | sum_distance =    36.681514293263447 | exercise(cycle,model) = exerc_1 | exerc_1

[   7 / 132 ] flow_distance =    59.926300469978870 | volume_distance =     1.682273878379650 | sum_distance =    61.608574348358516 | exercise(cycle,model) = exerc_1 | exerc_4
[   7 / 132 ] flow_distance =    12.032991993766073 | volume_distance =    10.731735126225292 | sum_distance =    22.764727119991363 | exercise(cycle,model) = exerc_1 | exerc_6
[   7 / 132 ] flow_distance =   104.018082280520346 | volume_distance =     6.986160247504144 | sum_distance =   111.004242528024491 | exercise(cycle,model) = exerc_1 | exerc_3
[   7 / 132 ] flow_distance =    16.028569204328885 | volume_distance =     1.015003230155480 | sum_distance =    17.043572434484364 | exercise(cycle,model) = exerc_1 | exerc_7
[   7 / 132 ] flow_distance =    28.668501962412055 | volume_distance =     3.771045586480047 | sum_distance =    32.439547548892101 | exercise(cycle,model) = exerc_1 | exerc_2
[   7 / 132 ] flow_distance =    32.687122063452499 | volume_distance =     1.170834045283713 | sum_distance =    33.857956108736211 | exercise(cycle,model) = exerc_1 | exerc_5
[   7 / 132 ] flow_distance =    31.383245394705558 | volume_distance =    16.157321899035107 | sum_distance =    47.540567293740665 | exercise(cycle,model) = exerc_1 | exerc_1

[   8 / 132 ] flow_distance =    63.368047345205291 | volume_distance =     5.410132297470043 | sum_distance =    68.778179642675340 | exercise(cycle,model) = exerc_1 | exerc_4
[   8 / 132 ] flow_distance =    17.964091509089045 | volume_distance =    23.611682411958629 | sum_distance =    41.575773921047670 | exercise(cycle,model) = exerc_1 | exerc_6
[   8 / 132 ] flow_distance =   106.413300722449037 | volume_distance =     2.700848911027767 | sum_distance =   109.114149633476799 | exercise(cycle,model) = exerc_1 | exerc_3
[   8 / 132 ] flow_distance =    14.092706318520476 | volume_distance =     6.164737676413985 | sum_distance =    20.257443994934462 | exercise(cycle,model) = exerc_1 | exerc_7
[   8 / 132 ] flow_distance =    12.691908369179785 | volume_distance =     0.707695585138466 | sum_distance =    13.399603954318252 | exercise(cycle,model) = exerc_1 | exerc_2
[   8 / 132 ] flow_distance =    26.119984563233277 | volume_distance =     3.857935660786320 | sum_distance =    29.977920224019599 | exercise(cycle,model) = exerc_1 | exerc_5
[   8 / 132 ] flow_distance =    28.923925419794728 | volume_distance =     6.049403717777567 | sum_distance =    34.973329137572293 | exercise(cycle,model) = exerc_1 | exerc_1
