[   6 / 132 ] flow_distance =    23.701997451900734 | volume_distance =     5.326513809862300 | sum_distance =    29.028511261763036 | exercise(cycle,model) = exerc_1 | exerc_2
[   6 / 132 ] flow_distance =    94.311894182463703 | volume_distance =     5.826683396324020 | sum_distance =   100.138577578787718 | exercise(cycle,model) = exerc_1 | exerc_5
[   6 / 132 ] flow_distance =    96.480664597438135 | volume_distance =     5.935814093846229 | sum_distance =   102.416478691284368 | exercise(cycle,model) = exerc_1 | exerc_1

[   7 / 132 ] flow_distance =   119.852600939957711 | volume_distance =     1.682273878379650 | sum_distance =   121.534874818337357 | exercise(cycle,model) = exerc_1 | exerc_4
[   7 / 132 ] flow_distance =    32.013980499607186 | volume_distance =     1.232503717152619 | sum_distance =    33.246484216759804 | exercise(cycle,model) = exerc_1 | exerc_6
[   7 / 132 ] flow_distance =   230.497059229025723 | volume_distance =     1.941880350722898 | sum_distance =   232.438939579748620 | exercise(cycle,model) = exerc_1 | exerc_3
[   7 / 132 ] flow_distance =    40.762986558194655 | volume_distance =     2.546107159042967 | sum_distance =    43.309093717237623 | exercise(cycle,model) = exerc_1 | exerc_7
[   7 / 132 ] flow_distance =    46.412766448526853 | volume_distance =     2.378103991582171 | sum_distance =    48.790870440109025 | exercise(cycle,model) = exerc_1 | exerc_2
[   7 / 132 ] flow_distance =   106.556463472934880 | volume_distance =     0.828521291747163 | sum_distance =   107.384984764682045 | exercise(cycle,model) = exerc_1 | exerc_5
[   7 / 132 ] flow_distance =    89.671034888677866 | volume_distance =     1.890484502512896 | sum_distance =    91.561519391190757 | exercise(cycle,model) = exerc_1 | exerc_1

[   8 / 132 ] flow_distance =   126.736094690410582 | volume_distance =     5.410132297470043 | sum_distance =   132.146226987880624 | exercise(cycle,model) = exerc_1 | exerc_4
[   8 / 132 ] flow_distance =    35.729748330343966 | volume_distance =     2.425881064522340 | sum_distance =    38.155629394866310 | exercise(cycle,model) = exerc_1 | exerc_6
[   8 / 132 ] flow_distance =   231.010293826105396 | volume_distance =     5.991873877928255 | sum_distance =   237.002167704033639 | exercise(cycle,model) = exerc_1 | exerc_3
[   8 / 132 ] flow_distance =    20.935178664242908 | volume_distance =     1.852769784952245 | sum_distance =    22.787948449195152 | exercise(cycle,model) = exerc_1 | exerc_7
[   8 / 132 ] flow_distance =    24.726057623733425 | volume_distance =     7.342455685469861 | sum_distance =    32.068513309203283 | exercise(cycle,model) = exerc_1 | exerc_2
[   8 / 132 ] flow_distance =    60.030907090459984 | volume_distance =     7.745184037495388 | sum_distance =    67.776091127955368 | exercise(cycle,model) = exerc_1 | exerc_5
[   8 / 132 ] flow_distance =    68.964878068135931 | volume_distance =     6.390739829552817 | sum_distance =    75.355617897688745 | exercise(cycle,model) = exerc_1 | exerc_1

[   9 / 132 ] flow_distance =   148.551789304485595 | volume_distance =     1.871965936375101 | sum_distance =   150.423755240860686 | exercise(cycle,model) = exerc_1 | exerc_4
[   9 / 132 ] flow_distance =    67.293922256864391 | volume_distance =     2.230615117569494 | sum_distance =    69.524537374433891 | exercise(cycle,model) = exerc_1 | exerc_6
[   9 / 132 ] flow_distance =   182.635832209514490 | volume_distance =     2.537617707454431 | sum_distance =   185.173449916968934 | exercise(cycle,model) = exerc_1 | exerc_3
