0,;0,16666667;1,;0,58333333;0,84615385;0,25;0,38095238
0,;0,11111111;0,29411765;0,36842105;0,61111111;0,88235294;0,42105263
0,;0,13333333;0,45454545;0,4516129;0,70967742;0,38961039;0,4
17;18;17;19;18;17;19
